Provinsi,2010 PDRBK_ADHK,2011 PDRBK_ADHK,2012 PDRBK_ADHK,2013 PDRBK_ADHK,2014 PDRBK_ADHK,2015 PDRBK_ADHK,2016 PDRBK_ADHK,2017 PDRBK_ADHK,2018 PDRBK_ADHK,2019 PDRBK_ADHK,2020 PDRBK_ADHK,2010 PDRBK_ADHB,2011 PDRBK_ADHB,2012 PDRBK_ADHB,2013 PDRBK_ADHB,2014 PDRBK_ADHB,2015 PDRBK_ADHB,2016 PDRBK_ADHB,2017 PDRBK_ADHB,2018 PDRBK_ADHB,2019 PDRBK_ADHB,2020 PDRBK_ADHB,2010 PDRB_ADHK,2011 PDRB_ADHK,2012 PDRB_ADHK,2013 PDRB_ADHK,2014 PDRB_ADHK,2015 PDRB_ADHK,2016 PDRB_ADHK,2017 PDRB_ADHK,2018 PDRB_ADHK,2019 PDRB_ADHK,2020 PDRB_ADHK,2010 PDRB_ADHB,2011 PDRB_ADHB,2012 PDRB_ADHB,2013 PDRB_ADHB,2014 PDRB_ADHB,2015 PDRB_ADHB,2016 PDRB_ADHB,2017 PDRB_ADHB,2018 PDRB_ADHB,2019 PDRB_ADHB,2020 PDRB_ADHB,2010 IPM,2011 IPM,2012 IPM,2013 IPM,2014 IPM,2015 IPM,2016 IPM,2017 IPM,2018 IPM,2019 IPM,2020 IPM,2010 Pengangguran,2011 Pengangguran,2012 Pengangguran,2013 Pengangguran,2014 Pengangguran,2015 Pengangguran,2016 Pengangguran,2017 Pengangguran,2018 Pengangguran,2019 Pengangguran,2020 Pengangguran,2010 Inflasi,2011 Inflasi,2012 Inflasi,2013 Inflasi,2014 Inflasi,2015 Inflasi,2016 Inflasi,2017 Inflasi,2018 Inflasi,2019 Inflasi,2020 Inflasi,2010 Kemiskinan,2011 Kemiskinan,2012 Kemiskinan,2013 Kemiskinan,2014 Kemiskinan,2015 Kemiskinan,2016 Kemiskinan,2017 Kemiskinan,2018 Kemiskinan,2019 Kemiskinan,2020 Kemiskinan,2010 Upah Minimum,2011 Upah Minimum,2012 Upah Minimum,2013 Upah Minimum,2014 Upah Minimum,2015 Upah Minimum,2016 Upah Minimum,2017 Upah Minimum,2018 Upah Minimum,2019 Upah Minimum,2020 Upah Minimum
DKI Jakarta,111528.86,117672.92,123962.38,130060.31,136312.34,142913.61,149831.9,157636.6,165768.99,174812.51,170089.02,111528.86,125533.82,138858.29,155153.92,174914.36,195431.68,210075.09,228002.73,247678.49,268052.25,262615.17,1075183.48,1147558.23,1222527.92,1296694.57,1373389.13,1454563.85,1539916.88,1635359.15,1735208.29,1836240.55,1792291.09,1075183.48,1224218.48,1369432.64,1546876.49,1762316.4,1989088.75,2159073.6,2365353.85,2592606.57,2815636.16,2767273.49,"77,60","77,97",77.53,78.08,78.39,78.99,79.6,80.06,80.47,80.76,"80,77",11.05,11.69,9.67,8.63,8.47,7.23,6.12,7.14,6.65,6.54,10.95,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"3,48","3,75","3,69","3,72",4.09,3.61,3.75,3.78,3.55,3.47,4.53,1118009,1290000,1529150,2200000,2441000,2700000,3100000,3355750,3648036,3940973,4276350
Jawa Barat,20974.94,21976.53,23036,24118.31,24966.86,25845.5,26923.51,27970.92,29160.06,30413.37,30180.54,20974.94,23251.17,25272.29,27767.25,30107.21,32648.02,34893.62,37223.11,40272.64,43309.19,43236.51,906685.76,965622.06,1028409.74,1093543.55,1149216.06,1207232.34,1275619.24,1343662.14,1419624.14,1490959.69,1453380.72,906685.76,1021628.6,1128245.68,1258989.33,1385825.08,1524974.83,1653238.4,1788117.36,1960627.65,2123153.71,2082107.26,"72,29","72,73",67.32,68.25,68.8,69.5,70.05,70.69,71.3,72.03,"72,09",10.33,9.96,9.08,9.16,8.45,8.72,8.89,8.22,8.23,8.04,10.46,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"11,27","10,65","10,09","9,61",9.18,9.57,8.77,7.83,7.25,6.91,7.88,671500,732000,780000,850000,1000000,1000000,2250000,1420624,1544361,1668373,1810351
Jawa Tengah,19209.31,20053.8,20950.62,21844.87,22819.16,23887.06,24959.49,26088.91,27285.25,28695.92,26483.68,19209.31,21162.83,22865.43,24952.13,27517.84,29933.75,31961.95,34234.31,36770.96,39388.15,36964.78,623224.62,656268.13,691343.12,726655.12,764959.15,806765.09,849099.35,893750.3,941091.14,991516.54,965227.27,623224.62,692561.63,754529.44,830016.02,922471.18,1010986.64,1087316.7,1172794.52,1268261.17,1360960.13,1347222.49,"72,49","72,94",67.21,68.02,68.78,69.49,69.98,70.52,71.12,71.73,"71,87",6.21,7.07,5.61,6.01,5.68,4.99,4.63,4.57,4.47,4.44,6.48,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"16,56","15,76","15,34","14,44",13.58,13.32,13.19,12.23,11.19,10.8,11.41,660000,675000,765000,830000,910000,910000,,1367000,1486065,1605396,1742015
DI Yogyakarta,18652.97,19387.45,20183.88,21037.7,21867.9,22688.36,23565.68,24533.8,25776.31,27008.68,27754.47,18652.97,20333.34,21744.88,23623.92,25526.4,27571.53,29552.53,31664.92,34136.93,36459.73,37693.64,64678.97,68049.87,71702.45,75627.45,79536.08,83474.45,87685.81,92300.24,98024.01,104485.46,101698.52,64678.97,71369.96,77247.86,84924.54,92842.48,101440.52,109962.35,119128.72,129818.36,141047.69,138117.84,"75,77","76,32",76.15,76.44,76.81,77.59,78.38,78.89,79.53,79.99,"79,97",5.69,4.39,3.9,3.24,3.33,4.07,2.72,3.02,3.37,3.18,4.57,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"16,83","16,08","16,05","15,03",14.55,13.16,13.10,12.36,11.81,11.7,12.28,745694,808000,892660,947114,988500,988500,,1337645,1454154,1570923,1704608
Jawa Timur,26371.1,27864.26,29508.4,31092.04,32703.39,34271.81,35970.78,37724.29,39579.95,41512.2,39686.19,26371.1,29613.05,32770.38,36037.18,39832.68,43541.4,47491.52,51228.45,55410.61,59015.17,56640.82,990648.84,1054401.77,1124464.64,1192789.8,1262684.5,1331376.1,1405563.51,1482299.58,1563441.82,1649895.64,1611392.55,990648.84,1120577.16,1248767.29,1382501.5,1537947.63,1691477.06,1855738.4,2012917.99,2188766.35,2345548.55,2299807.64,"71,62","72,18",66.74,67.55,68.14,68.95,69.74,70.27,70.77,71.5,"71,71",4.25,5.38,4.11,4.3,4.19,4.47,4.21,4,3.91,3.82,5.84,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"15,26","14,23","13,40","12,73",12.28,12.28,11.85,11.2,10.85,10.37,11.09,630000,705000,745000,866250,1000000,1000000,,1388000,1508895,1630059,1768777
Banten,25397.65,26548.94,27716.47,28910.66,29846.64,30813.03,31781.56,32947.6,34183.75,35913.9,37165.16,25397.65,27977.01,30202.44,32991.61,36629.18,40091.23,42439.73,45275.58,48370.15,52013.99,52729.4,271465.28,290545.84,310385.59,331099.11,349351.23,368377.2,387835.09,410137,433782.71,456620.03,441148.58,271465.28,306174.29,338224.93,377836.08,428740.07,479300.44,517898.34,563597.7,613804.41,661321.34,625895.38,"70,48","70,95",68.92,69.47,69.89,70.27,70.96,71.42,71.95,72.44,"72,45",13.68,13.74,9.94,9.54,9.07,9.55,8.92,9.28,8.47,8.11,10.64,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"7,16","6,32","5,85","5,89",5.51,5.75,5.36,5.59,5.25,5.09,5.92,955300,1000000,1042000,1170000,1325000,1600000,1784000,1931180,2099385,2267990,2460997
Bali,23992.63,25265.96,26689.58,28129.67,29668.9,31093.61,32689.09,34129.84,35896.35,37297.5,34216.52,23992.63,26433.49,29443.59,33135.15,38099.86,42480.08,46211.04,50167.07,54433.46,57755.96,52015.45,93749.35,99991.63,106951.46,114103.58,121787.57,129126.56,137296.45,144933.31,154072.66,162693.36,147498.94,93749.35,104612.19,117987.4,134407.53,156395.73,176412.67,194089.58,213035.86,233636.77,251934.1,224225.72,"72,28","72,84",71.62,72.09,72.48,73.27,73.65,74.3,74.77,75.38,"75,50",3.06,2.95,2.1,1.83,1.9,1.99,1.89,1.48,1.4,1.57,5.63,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"4,88","4,20","4,18","4,49",4.76,5.25,4.15,4.14,3.91,3.79,3.78,829316,890000,967500,1181000,1542600,1621172,1807600,1956727,2127157,2297969,2494000
Nusa Tenggara Barat,15527.41,14705.77,14276.69,14809.84,15369.94,18475.14,19305.79,19091.26,18020.5,18219.11,17583.11,15527.41,14879.83,14853.74,15627.57,17097.66,21851.53,23786.95,24986.54,24705.97,25716.11,25183.56,70122.73,67379.14,66340.81,69766.71,73372.96,89337.99,94524.29,94608.21,90349.13,93872.44,93288.87,70122.73,68176.69,69022.23,73618.88,81620.73,105664.74,116464.76,123822.76,123868.02,132500.1,133613.74,"65,20","66,23",62.98,63.76,64.31,65.19,65.81,66.58,67.3,68.14,"68,25",5.29,5.25,5.23,5.3,5.75,5.69,3.94,3.32,3.58,3.28,4.22,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"21,55","19,73","18,63","17,25",17.05,16.54,16.02,15.05,14.63,14.56,13.97,890775,950000,1000000,1100000,1210000,1330000,1482950,1631245,1825000,2012610,2183883
Nusa Tenggara Timur,9316.79,9675.89,10030.98,10396.76,10742.32,11087.91,11468.79,11863.41,12273.85,12761.98,12960.95,9316.79,10194.01,11268.85,12379.02,13599.73,14867.16,16093.51,17165.45,18417.54,19630.02,20056.99,43846.61,46334.13,48863.19,51505.19,54107.97,56770.79,59678.01,62725.41,65929.19,69389.02,68809.61,43846.61,48815.24,54893.15,61325.26,68500.43,76120.79,83742.79,90758.93,98930.19,106731.76,106482.45,"67,26","67,75",60.81,61.68,62.26,62.67,63.13,63.73,64.39,65.23,"65,19",3.34,3.11,3.04,3.25,3.26,3.83,3.25,3.27,2.85,3.14,4.28,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"23,03","21,23","20,88","20,24",19.60,22.58,22.01,21.38,21.03,21.09,20.9,800000,850000,925000,1010000,1150000,1250000,1425000,1525000,1660000,1795000,1950000
Kalimantan Barat,19510.07,20227.16,21062.22,21971.93,22712.65,23456.52,24308.85,25198.01,26110.57,27199.78,24953.61,19510.07,21548.09,23427.05,25561.5,28062.48,30619.33,33190.65,35984.53,38814.73,42045.41,39622.24,86065.85,90797.59,96161.93,101980.34,107114.96,112346.76,118183.27,124289.17,130596.32,137243.09,134743.38,86065.85,96727.13,106958.8,118640.96,132345.29,146653.55,161364.24,177493.65,194138.22,212150.33,213950.35,"69,15","69,66",63.41,64.3,64.89,65.59,65.88,66.26,66.98,67.65,"67,66",4.62,4.6,3.54,3.99,4.04,5.15,4.23,4.36,4.18,4.35,5.81,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"9,02","8,60","8,17","8,74",8.07,8.44,8.00,7.86,7.37,7.49,7.17,741000,802500,900000,1060000,1380000,1560000,1739400,1882900,2046900,2211500,2399699
Kalimantan Tengah,25455.05,26588.9,27749.01,29106.4,30216.73,31619.18,32899.58,34370.63,35548.43,37870.47,37148.73,25455.05,28952.94,31515.97,34367.34,36842.26,40105.06,43905.33,48293.22,52107.23,56625.38,57145.08,56531.02,60492.93,64649.17,69410.99,73724.52,78890.97,83900.24,89544.9,94566.25,100349.29,98933.61,56531.02,65871.41,73425.38,81956.92,89889.88,100063.52,111967.02,125817.07,138616.13,150046.1,152187.39,"74,64","75,06",66.66,67.41,67.77,68.53,69.13,69.79,70.42,70.91,"71,05",4.14,3.54,3.14,3,3.24,4.54,4.82,4.23,3.91,4.04,4.58,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"6,77","6,56","6,51","6,23",6.07,5.91,5.36,5.26,5.1,4.98,4.82,986590,1134580,1327459,1553127,1723970,1896367,2057558,2227307,2421305,2663435,2903145
Kalimantan Selatan,23418.47,24567.52,25547.77,26423.9,27220.27,27786.68,28540.05,29578.79,30614.85,31611.46,32212.3,23418.47,26594.38,28197.08,30058.02,32599.83,34351.69,36022.98,38619.54,41046.28,42823.56,44100.79,85305,91252.13,96697.84,101850.54,106779.4,110863.12,115743.57,121858.52,128052.58,133283.85,130864.32,85305,98780.55,106725.43,115858.2,127882.28,137056.12,146090.43,159104.55,171684.06,180557.64,179162.02,"69,92","70,44",66.68,67.17,67.63,68.38,69.05,69.65,70.17,70.72,"70,91",5.25,6.29,5.19,3.66,3.8,4.92,5.45,4.77,4.35,4.18,4.74,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"5,21","5,29","5,06","4,76",4.81,4.72,4.52,4.7,4.65,4.55,4.38,1024500,1126000,1225000,1337500,1620000,1870000,2085050,2258000,2454671,2651782,2877449
Kalimantan Timur,116946.31,121196.23,124501.88,133868.68,133086.11,128603.13,125385.5,126625.19,127354.19,134410.55,125764.53,116946.31,140229.63,145998.48,158472.71,157399.96,147405.43,145343.19,165546.62,174164.82,180259.1,161798.85,418211.58,445264.42,469646.25,438532.91,446029.05,440676.36,439003.83,452741.91,464694.43,486523.18,472393.33,418211.58,515191.48,550735.76,519131.87,527515.26,505105.06,508880.24,591903.49,635498.68,652480.26,607744.49,"75,56","76,22",72.62,73.21,73.82,74.17,74.59,75.12,75.83,76.61,"76,24",10.1,11.43,9.02,7.95,7.38,7.5,7.95,6.91,6.41,5.94,6.87,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"7,66","6,77","6,68","6,38",6.31,6.10,6.00,6.08,6.06,5.94,6.1,1002000,1084000,1177000,1752073,1886315,2026126,2161253,2339556,2543332,2747561,2981379
Kalimantan Utara,,,,74106.93,77152.6,76823.46,76635.46,78918.57,80204.84,88299.52,86823.59,,,,88415.13,95734.77,96150.38,99112.33,111318.54,119413.88,138751.01,143533.29,,,,44091.7,47696.35,49315.75,51064.74,54537.31,57459.31,61417.79,60746.21,,,,52604.7,59184,61722.39,66041.81,76927.57,85548.94,96509.93,100423.21,,,,67.99,68.64,68.76,69.2,69.84,70.56,71.15,"70,63",,,,,,5.68,5.23,5.54,5.11,4.49,4.97,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,,,,,,6.32,6.99,6.96,6.86,6.63,6.8,,,,,,2026126,2175340,2354800,2559903,2765463,3000804
Sulawesi Utara,22707.79,23812.97,25145.96,26445.86,27805.52,29196.47,30679.97,32297.08,33911.61,35687.44,33670.44,22707.79,24867.95,27373.41,30121.09,33800.17,37786.58,41246.25,44744.2,48105.41,52173.02,50521.13,51721.33,54910.9,58677.59,62422.5,66360.76,70425.33,74764.66,79484.03,84249.72,89009.26,88126.37,51721.33,57343.6,63875.31,71097.46,80667.63,91145.68,100513.84,110116.73,119512.68,130126.51,132230.06,"76,09","76,54",69.04,69.49,69.96,70.39,71.05,71.66,72.2,72.99,"72,93",9.61,10.1,7.98,6.79,7.54,9.03,6.18,7.18,6.61,6.01,7.37,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"9,10","8,51","8,18","8,50",8.26,8.98,8.20,7.9,7.59,7.66,7.62,1000000,1050000,1250000,1550000,1900000,2150000,2400000,2598000,2824286,3051076,3310723
Sulawesi Tengah,19558.53,21105.7,22724.47,24490.98,25316.27,28778.64,31151.08,32860.48,39049.35,42054.5,45052.32,19558.53,22547.48,25421.64,28663.64,31874.69,37394.89,41082.04,45157.28,55518.66,61056.03,66306.27,51752.07,56833.83,62249.53,68219.32,71677.53,82787.2,91014.56,97474.86,117555.83,127935.06,134152.69,51752.07,60716.29,69637.92,79842.22,90246.27,107573.47,120030.01,133951.16,167135.77,185740.09,197440.78,"71,14","71,62",65,65.79,66.43,66.76,67.47,68.11,68.88,69.5,"69,55",4.61,6.78,3.95,4.19,3.68,4.1,3.29,3.81,3.37,3.11,3.77,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"18,07","15,83","15,40","14,32",13.61,14.07,14.09,14.22,13.69,13.48,12.92,777500,827500,885000,995000,1250000,1500000,1670000,1807775,1965232,2123040,2303711
